labels,count,class_weight
[cs.CV],7116,3.675379426644182
[cs.AI],3030,8.631683168316831
[cs.CL],3018,8.666003976143141
"[cs.LG, stat.ML]",1324,19.753776435045317
[stat.ML],1285,20.353307392996108
[cs.LG],1269,20.609929078014183
"[stat.ML, cs.LG]",1044,25.051724137931036
[cs.NE],964,27.130705394190873
"[cs.CV, cs.LG]",417,62.719424460431654
"[cs.LG, cs.AI, stat.ML]",301,86.89036544850498
"[cs.LG, cs.AI]",279,93.74193548387096
"[cs.AI, cs.LO]",242,108.07438016528926
"[cs.AI, cs.LG]",234,111.76923076923077
"[cs.LG, cs.CV]",193,135.51295336787564
"[cs.CV, cs.AI]",190,137.65263157894736
"[cs.CV, cs.LG, stat.ML]",180,145.3
"[cs.LO, cs.AI]",177,147.76271186440678
"[cs.AI, cs.LG, stat.ML]",165,158.5090909090909
"[cs.IR, cs.CL]",156,167.65384615384616
"[cs.CV, cs.RO]",147,177.91836734693877
"[cs.CV, cs.LG, cs.NE]",139,188.15827338129498
"[cs.CV, stat.ML]",136,192.30882352941177
"[cs.LG, cs.CV, stat.ML]",131,199.64885496183206
"[cs.CL, cs.IR]",125,209.232
"[cs.RO, cs.CV]",121,216.1487603305785
"[cs.LG, math.OC, stat.ML]",112,233.51785714285714
"[stat.ML, cs.AI, cs.LG]",104,251.48076923076923
"[cs.CV, cs.GR]",92,284.2826086956522
"[math.OC, cs.LG, stat.ML]",90,290.6
"[cs.CV, cs.MM]",89,293.86516853932585
"[cs.LG, cs.NE, stat.ML]",86,304.1162790697674
"[stat.ML, cs.CV, cs.LG]",83,315.10843373493975
"[cs.GT, cs.AI]",82,318.9512195121951
"[cs.DB, cs.AI]",81,322.8888888888889
"[cs.RO, cs.AI]",80,326.925
"[cs.CL, cs.LG, stat.ML]",74,353.43243243243245
"[cs.CL, cs.LG, cs.NE]",74,353.43243243243245
"[stat.ML, cs.LG, math.OC]",71,368.36619718309856
"[cs.CV, cs.AI, cs.LG]",69,379.04347826086956
"[cs.CL, cs.SI]",68,384.61764705882354
"[cs.IR, cs.AI]",68,384.61764705882354
"[cs.CL, cs.AI, cs.LG]",63,415.14285714285717
"[cs.NE, cs.LG, stat.ML]",62,421.83870967741933
"[stat.ML, cs.LG, cs.NE]",59,443.2881355932203
"[cs.AI, cs.RO]",58,450.9310344827586
"[cs.AI, cs.GT]",56,467.0357142857143
"[cs.LG, cs.DS, stat.ML]",56,467.0357142857143
"[cs.MM, cs.CV]",56,467.0357142857143
"[stat.ML, cs.LG, stat.ME]",55,475.5272727272727
"[cs.AI, cs.MA]",54,484.3333333333333
"[cs.MA, cs.AI]",53,493.47169811320754
"[cs.NE, cs.AI]",51,512.8235294117648
"[cs.AI, cs.IR]",51,512.8235294117648
"[stat.ML, cs.IT, cs.LG, math.IT]",50,523.08
"[cs.LG, cs.IT, math.IT, stat.ML]",50,523.08
"[cs.AI, cs.DB]",50,523.08
"[cs.CL, cs.IR, cs.LG]",50,523.08
"[cs.LG, cs.CV, cs.NE]",48,544.875
"[cs.CV, cs.IR]",48,544.875
"[stat.ML, cs.LG, math.ST, stat.TH]",47,556.468085106383
"[stat.ML, cs.CV]",47,556.468085106383
"[cs.SI, cs.LG, stat.ML]",46,568.5652173913044
"[cs.AI, cs.DS]",46,568.5652173913044
"[cs.AI, cs.CY]",46,568.5652173913044
"[cs.AI, cs.CV]",44,594.4090909090909
"[cs.IT, cs.LG, math.IT, stat.ML]",44,594.4090909090909
"[cs.LG, cs.AI, cs.CV]",42,622.7142857142857
"[stat.ME, cs.LG, stat.ML]",41,637.9024390243902
"[cs.CL, cs.NE]",39,670.6153846153846
"[cs.AI, cs.CC]",39,670.6153846153846
"[cs.LG, cs.IR, stat.ML]",38,688.2631578947369
"[cs.CY, cs.AI]",37,706.8648648648649
"[cs.AI, cs.HC]",37,706.8648648648649
"[cs.LG, cs.AI, cs.NE]",37,706.8648648648649
"[cs.AI, cs.NE]",37,706.8648648648649
"[cs.SE, cs.AI]",36,726.5
"[cs.SI, cs.CL]",36,726.5
"[cs.NE, cs.CE]",35,747.2571428571429
"[cs.CV, cs.HC]",35,747.2571428571429
"[math.ST, cs.LG, stat.ML, stat.TH]",35,747.2571428571429
"[cs.PL, cs.AI]",35,747.2571428571429
"[stat.ML, cs.LG, stat.AP]",34,769.2352941176471
"[cs.CV, math.OC]",34,769.2352941176471
"[cs.IR, cs.LG, stat.ML]",34,769.2352941176471
"[stat.ML, cs.LG, stat.CO]",34,769.2352941176471
"[cs.IR, cs.LG]",33,792.5454545454545
"[cs.LG, cs.SI, stat.ML]",33,792.5454545454545
"[cs.DS, cs.AI]",33,792.5454545454545
"[cs.GR, cs.CV]",33,792.5454545454545
"[cs.LG, cs.IR]",32,817.3125
"[stat.ML, cs.CL, cs.LG]",31,843.6774193548387
"[cs.CR, cs.AI]",31,843.6774193548387
"[cs.HC, cs.CV]",31,843.6774193548387
"[cs.RO, cs.AI, cs.LG]",30,871.8
"[cs.SD, cs.CL]",30,871.8
"[cs.DS, cs.LG, stat.ML]",30,871.8
"[cs.CL, cs.AI, cs.IR]",30,871.8
"[cs.HC, cs.AI]",29,901.8620689655172
"[cs.LG, cs.CL, stat.ML]",29,901.8620689655172
"[cs.AI, cs.PL]",28,934.0714285714286
